categorie,id_cat_parent,id_categorie,lien_categorie,type
Peinture,category-5027,category-5031,https://www.centrale-brico.com/habitat/peinture,SOUS_CAT
Automatisme,category-5008,category-5009,https://www.centrale-brico.com/domotique-securite/automatisme,SOUS_CAT
Protection incendie,category-5008,category-5010,https://www.centrale-brico.com/domotique-securite/protection-incendie,SOUS_CAT
Sécurité domicile,category-5008,category-5011,https://www.centrale-brico.com/domotique-securite/securite-domicile,SOUS_CAT
Accessoires Robinetterie,category-5044,category-5045,https://www.centrale-brico.com/plomberie-sanitaire/accessoires-robinetterie,SOUS_CAT
Robinet pour Cuisine,category-5044,category-5047,https://www.centrale-brico.com/plomberie-sanitaire/robinet-pour-cuisine,SOUS_CAT
Raccord Cuivre Laiton,category-5044,category-5048,https://www.centrale-brico.com/plomberie-sanitaire/raccord-cuivre-laiton,SOUS_CAT
Raccord PVC,category-5044,category-5049,https://www.centrale-brico.com/plomberie-sanitaire/raccord-pvc,SOUS_CAT
Salle de Bain,category-5044,category-5050,https://www.centrale-brico.com/plomberie-sanitaire/salle-de-bain,SOUS_CAT
Traitement eau et gaz,category-5044,category-5052,https://www.centrale-brico.com/plomberie-sanitaire/traitement-eau-et-gaz,SOUS_CAT
Vidage,category-5044,category-5053,https://www.centrale-brico.com/plomberie-sanitaire/vidage,SOUS_CAT
WC,category-5044,category-5054,https://www.centrale-brico.com/plomberie-sanitaire/wc,SOUS_CAT
Produits reconditionnés,category-5186,category-5188,https://www.centrale-brico.com/bonnes-affaires/produits-reconditionnes,SOUS_CAT
Déstockage,category-5186,category-5192,https://www.centrale-brico.com/bonnes-affaires/destockage,SOUS_CAT
Autre outil électroportatif,category-5062,category-5021,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,SOUS_CAT
Equipement stationnaire,category-5062,category-5022,https://www.centrale-brico.com/electroportatif/equipement-stationnaire,SOUS_CAT
Maxicraft-Dremel,category-5062,category-5023,https://www.centrale-brico.com/electroportatif/maxicraft-dremel,SOUS_CAT
Perceuse-Visseuse,category-5062,category-5024,https://www.centrale-brico.com/electroportatif/perceuse-visseuse,SOUS_CAT
Ponceuse-Meuleuse-Scie,category-5062,category-5025,https://www.centrale-brico.com/electroportatif/ponceuse-meuleuse-scie,SOUS_CAT
Soudure,category-5062,category-5026,https://www.centrale-brico.com/electroportatif/soudure,SOUS_CAT
Automobile,category-5062,category-5033,https://www.centrale-brico.com/outillage/automobile,SOUS_CAT
Brosserie-Abrasif,category-5062,category-5034,https://www.centrale-brico.com/outillage/brosserie-abrasif,SOUS_CAT
Coupe,category-5062,category-5035,https://www.centrale-brico.com/outillage/coupe,SOUS_CAT
Frappe,category-5062,category-5036,https://www.centrale-brico.com/outillage/frappe,SOUS_CAT
Outils Bâtiment,category-5062,category-5037,https://www.centrale-brico.com/outillage/outils-batiment,SOUS_CAT
Outils à bois,category-5062,category-5038,https://www.centrale-brico.com/outillage/outils-a-bois,SOUS_CAT
Perçage-Fraisage,category-5062,category-5039,https://www.centrale-brico.com/outillage/percage-fraisage,SOUS_CAT
Pince-Tenaille,category-5062,category-5040,https://www.centrale-brico.com/outillage/pince-tenaille,SOUS_CAT
Plomberie,category-5062,category-5041,https://www.centrale-brico.com/outillage/plomberie,SOUS_CAT
Sciage,category-5062,category-5042,https://www.centrale-brico.com/outillage/sciage,SOUS_CAT
Vissage,category-5062,category-5043,https://www.centrale-brico.com/outillage/vissage,SOUS_CAT
Chariot-Levage-Serrage,category-5062,category-5001,https://www.centrale-brico.com/atelier-chantier/chariot-levage-serrage,SOUS_CAT
Droguerie,category-5062,category-5002,https://www.centrale-brico.com/atelier-chantier/droguerie,SOUS_CAT
Equipement d'atelier,category-5062,category-5004,https://www.centrale-brico.com/atelier-chantier/equipement-d-atelier,SOUS_CAT
Métrologie-Traçage,category-5062,category-5005,https://www.centrale-brico.com/atelier-chantier/metrologie-tracage,SOUS_CAT
Protection des personnes,category-5062,category-5006,https://www.centrale-brico.com/atelier-chantier/protection-des-personnes,SOUS_CAT
Rangement,category-5062,category-5007,https://www.centrale-brico.com/atelier-chantier/rangement,SOUS_CAT
Travail en hauteur,category-5062,category-5142,https://www.centrale-brico.com/atelier-chantier/travail-en-hauteur,SOUS_CAT
Ameublement,category-5062,category-5056,https://www.centrale-brico.com/quincaillerie/ameublement,SOUS_CAT
Armoire-Penderie,category-5062,category-5144,https://www.centrale-brico.com/quincaillerie/armoire-penderie,SOUS_CAT
Bâtiment,category-5062,category-5057,https://www.centrale-brico.com/quincaillerie/batiment,SOUS_CAT
Fixation,category-5062,category-5058,https://www.centrale-brico.com/quincaillerie/fixation,SOUS_CAT
Meuble-Rangement,category-5062,category-5059,https://www.centrale-brico.com/quincaillerie/meuble-rangement,SOUS_CAT
Porte-Fenêtre,category-5062,category-5060,https://www.centrale-brico.com/quincaillerie/porte-fenetre,SOUS_CAT
Serrurerie,category-5062,category-5061,https://www.centrale-brico.com/quincaillerie/serrurerie,SOUS_CAT
Branchement,category-5062,category-5013,https://www.centrale-brico.com/electricite/branchement,SOUS_CAT
Eclairage,category-5062,category-5014,https://www.centrale-brico.com/electricite/eclairage,SOUS_CAT
Installation,category-5062,category-5015,https://www.centrale-brico.com/electricite/installation,SOUS_CAT
Multimédia,category-5062,category-5017,https://www.centrale-brico.com/electricite/multimedia,SOUS_CAT
Protection,category-5062,category-5018,https://www.centrale-brico.com/electricite/protection,SOUS_CAT
Poêle à bois - Poêle à granulés,category-5062,category-5353,https://www.centrale-brico.com/chauffage---traitement-de-l-air/poele-a-bois---poele-a-granules,SOUS_CAT
Radiateur Electrique,category-5062,category-5355,https://www.centrale-brico.com/chauffage---traitement-de-l-air/radiateur-electrique,SOUS_CAT
Cheminée - Insert,category-5062,category-5350,https://www.centrale-brico.com/chauffage---traitement-de-l-air/cheminee---insert,SOUS_CAT
Poêle à pétrole,category-5062,category-5354,https://www.centrale-brico.com/chauffage---traitement-de-l-air/poele-a-petrole,SOUS_CAT
Chauffe-eau,category-5062,category-5349,https://www.centrale-brico.com/chauffage---traitement-de-l-air/chauffe-eau,SOUS_CAT
VMC - extracteur d'air,category-5062,category-5356,https://www.centrale-brico.com/chauffage---traitement-de-l-air/vmc---extracteur-d-air,SOUS_CAT
Fumisterie - Tubage,category-5062,category-5352,https://www.centrale-brico.com/chauffage---traitement-de-l-air/fumisterie---tubage,SOUS_CAT
Climatiseur - ventilateur,category-5062,category-5351,https://www.centrale-brico.com/chauffage---traitement-de-l-air/climatiseur---ventilateur,SOUS_CAT
Accessoires de Cheminée,category-5062,category-5347,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee,SOUS_CAT
Chauffage au sol,category-5062,category-5348,https://www.centrale-brico.com/chauffage---traitement-de-l-air/chauffage-au-sol,SOUS_CAT
Accessoires Robinetterie,category-5062,category-5045,https://www.centrale-brico.com/plomberie-sanitaire/accessoires-robinetterie,SOUS_CAT
Robinet pour Cuisine,category-5062,category-5047,https://www.centrale-brico.com/plomberie-sanitaire/robinet-pour-cuisine,SOUS_CAT
Raccord Cuivre Laiton,category-5062,category-5048,https://www.centrale-brico.com/plomberie-sanitaire/raccord-cuivre-laiton,SOUS_CAT
Raccord PVC,category-5062,category-5049,https://www.centrale-brico.com/plomberie-sanitaire/raccord-pvc,SOUS_CAT
Salle de Bain,category-5062,category-5050,https://www.centrale-brico.com/plomberie-sanitaire/salle-de-bain,SOUS_CAT
