identifiant,nom_categorie,type_cat,url,id_parent
ui-id-96,Aménagement intérieur,S_CAT,https://www.lamaison.fr/materiaux/amenagement-interieur.html,ui-id-7
ui-id-109,"Cloison, plafond",PAGE_LIST,https://www.lamaison.fr/materiaux/amenagement-interieur/cloison-plafond.html,ui-id-96
ui-id-110,Panneau de bois,PAGE_LIST,https://www.lamaison.fr/materiaux/amenagement-interieur/panneau-de-bois.html,ui-id-96
ui-id-111,Menuiserie intérieure,PAGE_LIST,https://www.lamaison.fr/materiaux/amenagement-interieur/menuiserie-interieure.html,ui-id-96
ui-id-112,Isolation,PAGE_LIST,https://www.lamaison.fr/materiaux/amenagement-interieur/isolation.html,ui-id-96
ui-id-97,Aménagement extérieur,S_CAT,https://www.lamaison.fr/materiaux/amenagement-exterieur.html,ui-id-7
ui-id-113,Terrasse et sol extérieur,PAGE_LIST,https://www.lamaison.fr/materiaux/amenagement-exterieur/terrasse-et-sol-exterieur.html,ui-id-97
ui-id-114,Galet décoratif,PAGE_LIST,https://www.lamaison.fr/materiaux/amenagement-exterieur/galet-decoratif.html,ui-id-97
ui-id-8,Aménagement intérieur et décoration,CAT,https://www.lamaison.fr/amenagement-interieur-et-decoration.html,
ui-id-115,"Dressing, rangement",S_CAT,https://www.lamaison.fr/amenagement-interieur-et-decoration/dressing-rangement.html,ui-id-8
ui-id-120,Porte de placard,PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/dressing-rangement/porte-de-placard.html,ui-id-115
ui-id-121,"Aménagement placard, dressing",PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/dressing-rangement/amenagement-placard-dressing.html,ui-id-115
ui-id-122,Meuble de rangement,PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/dressing-rangement/meuble-de-rangement.html,ui-id-115
ui-id-123,"Boîte, sac de rangement",PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/dressing-rangement/boite-sac-de-rangement.html,ui-id-115
ui-id-116,Salle de bains et cuisine,S_CAT,https://www.lamaison.fr/amenagement-interieur-et-decoration/salle-de-bains-et-cuisine.html,ui-id-8
ui-id-124,Meuble salle de bain,PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/salle-de-bains-et-cuisine/meuble-salle-de-bain.html,ui-id-116
ui-id-125,"Douche, baignoire",PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/salle-de-bains-et-cuisine/douche-baignoire.html,ui-id-116
ui-id-126,"WC, lave-mains, évier",PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/salle-de-bains-et-cuisine/wc-lave-mains-evier.html,ui-id-116
ui-id-127,Aménagement salle de bain et WC,PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/salle-de-bains-et-cuisine/amenagement-salle-de-bain-et-wc.html,ui-id-116
ui-id-128,Meuble de cuisine,PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/salle-de-bains-et-cuisine/meuble-de-cuisine.html,ui-id-116
ui-id-129,Electroménager,PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/salle-de-bains-et-cuisine/electromenager.html,ui-id-116
ui-id-117,Décoration intérieure,S_CAT,https://www.lamaison.fr/amenagement-interieur-et-decoration/decoration-interieure.html,ui-id-8
ui-id-130,Luminaire,PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/decoration-interieure/luminaire.html,ui-id-117
ui-id-131,Ampoule,PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/decoration-interieure/ampoule.html,ui-id-117
ui-id-132,"Rideau, store",PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/decoration-interieure/rideau-store.html,ui-id-117
ui-id-133,"Coussin, housse",PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/decoration-interieure/coussin-housse.html,ui-id-117
ui-id-134,"Nappe, toile cirée, adhésif",PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/decoration-interieure/nappe-toile-ciree-adhesif.html,ui-id-117
ui-id-135,"Tapis de sol, paillasson",PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/decoration-interieure/tapis-de-sol-paillasson.html,ui-id-117
ui-id-136,Décoration murale,PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/decoration-interieure/decoration-murale.html,ui-id-117
ui-id-118,Revêtement sol et mur,S_CAT,https://www.lamaison.fr/amenagement-interieur-et-decoration/revetement-sol-et-mur.html,ui-id-8
ui-id-137,"Parquet, stratifié",PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/revetement-sol-et-mur/parquet-stratifie.html,ui-id-118
ui-id-138,Sol PVC,PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/revetement-sol-et-mur/sol-pvc.html,ui-id-118
ui-id-139,Papier peint,PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/revetement-sol-et-mur/papier-peint.html,ui-id-118
ui-id-140,"Lambris, briquette, parement",PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/revetement-sol-et-mur/lambris-briquette-parement.html,ui-id-118
ui-id-119,Peinture intérieure et produits de rénovation,S_CAT,https://www.lamaison.fr/amenagement-interieur-et-decoration/peinture-interieure-et-produits-de-renovation.html,ui-id-8
ui-id-141,Peinture intérieure,PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/peinture-interieure-et-produits-de-renovation/peinture-interieure.html,ui-id-119
ui-id-142,Entretien du bois,PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/peinture-interieure-et-produits-de-renovation/entretien-du-bois.html,ui-id-119
ui-id-143,Outils du peintre,PAGE_LIST,https://www.lamaison.fr/amenagement-interieur-et-decoration/peinture-interieure-et-produits-de-renovation/outils-du-peintre.html,ui-id-119
ui-id-9,Jardin et aménagement extérieur,CAT,https://www.lamaison.fr/jardin-et-amenagement-exterieur.html,
ui-id-144,Pépinière,S_CAT,https://www.lamaison.fr/jardin-et-amenagement-exterieur/pepiniere.html,ui-id-9
ui-id-155,Arbre et arbuste,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/pepiniere/arbre-et-arbuste.html,ui-id-144
ui-id-156,Plante de haie,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/pepiniere/plante-de-haie.html,ui-id-144
ui-id-157,Bambou,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/pepiniere/bambou.html,ui-id-144
ui-id-158,Plante climat doux,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/pepiniere/plante-climat-doux.html,ui-id-144
ui-id-159,Plante terre de bruyère,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/pepiniere/plante-terre-de-bruyere.html,ui-id-144
ui-id-160,Rosier,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/pepiniere/rosier.html,ui-id-144
ui-id-161,Plante grimpante,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/pepiniere/plante-grimpante.html,ui-id-144
ui-id-162,Sapin de Noël,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/pepiniere/sapin-de-noel.html,ui-id-144
ui-id-145,Plante d'extérieur,S_CAT,https://www.lamaison.fr/jardin-et-amenagement-exterieur/plante-d-exterieur.html,ui-id-9
ui-id-163,Plante vivace,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/plante-d-exterieur/plante-vivace.html,ui-id-145
ui-id-164,Plante à massif,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/plante-d-exterieur/plante-a-massif.html,ui-id-145
ui-id-165,Potée fleurie,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/plante-d-exterieur/potee-fleurie.html,ui-id-145
ui-id-146,Potager et verger,S_CAT,https://www.lamaison.fr/jardin-et-amenagement-exterieur/potager-et-verger.html,ui-id-9
ui-id-166,Plant du potager,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/potager-et-verger/plant-du-potager.html,ui-id-146
ui-id-167,Plante aromatique,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/potager-et-verger/plante-aromatique.html,ui-id-146
ui-id-168,Petit fruit,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/potager-et-verger/petit-fruit.html,ui-id-146
ui-id-169,Arbre fruitier,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/potager-et-verger/arbre-fruitier.html,ui-id-146
ui-id-147,Semence et bulbe,S_CAT,https://www.lamaison.fr/jardin-et-amenagement-exterieur/semence-et-bulbe.html,ui-id-9
ui-id-170,Semence potagère,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/semence-et-bulbe/semence-potagere.html,ui-id-147
ui-id-171,Semence fleur,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/semence-et-bulbe/semence-fleur.html,ui-id-147
ui-id-172,Semence gazon,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/semence-et-bulbe/semence-gazon.html,ui-id-147
ui-id-173,Semence fourragère et améliorant du sol,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/semence-et-bulbe/semence-fourragere-et-ameliorant-du-sol.html,ui-id-147
ui-id-174,Pomme de terre et bulbe potager,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/semence-et-bulbe/pomme-de-terre-et-bulbe-potager.html,ui-id-147
ui-id-148,Pot et contenant extérieur,S_CAT,https://www.lamaison.fr/jardin-et-amenagement-exterieur/pot-et-contenant-exterieur.html,ui-id-9
ui-id-175,Bac à fleurs,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/pot-et-contenant-exterieur/bac-a-fleurs.html,ui-id-148
ui-id-176,Pot et jardinière plastique,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/pot-et-contenant-exterieur/pot-et-jardiniere-plastique.html,ui-id-148
ui-id-177,Poterie et terre cuite,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/pot-et-contenant-exterieur/poterie-et-terre-cuite.html,ui-id-148
ui-id-178,Poterie émaillée,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/pot-et-contenant-exterieur/poterie-emaillee.html,ui-id-148
ui-id-179,Contenant à réserve d'eau,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/pot-et-contenant-exterieur/contenant-a-reserve-d-eau.html,ui-id-148
ui-id-180,"Carré potager, table de culture",PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/pot-et-contenant-exterieur/carre-potager-table-de-culture.html,ui-id-148
ui-id-149,Produit de soin et entretien,S_CAT,https://www.lamaison.fr/jardin-et-amenagement-exterieur/produit-de-soin-et-entretien.html,ui-id-9
ui-id-181,Engrais,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/produit-de-soin-et-entretien/engrais.html,ui-id-149
ui-id-182,Amendement et terreau,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/produit-de-soin-et-entretien/amendement-et-terreau.html,ui-id-149
ui-id-183,Paillage,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/produit-de-soin-et-entretien/paillage.html,ui-id-149
ui-id-184,Désherbant,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/produit-de-soin-et-entretien/desherbant.html,ui-id-149
