,EAN_13,categorie,code,description,marque,nom,prix,reference_fabricant,remise_pourcentage,url_produit,prix_initial
1089,4061792176225,Meuleuse,B6801600,"Travail parfait de l'acier inoxydable : meuleuse d'angle robuste à entraînement puissant avec réducteur à plusieurs vitesses et vitesse fortement réduite et réglable pour un ponçage à froid Longévité plus élevée, plus de puissance d'entraînement : le moteur Marathon Metabo avec protection contre la poussière brevetée a une résistance à la surcharge 20 % plus élevée et un couple de rotation 50 % plus élevé Système électronique Vario-Tacho-Constamatic (VTC) à ondes pleines avec molette de réglage : pour travailler avec des vitesses adaptées aux matériaux et qui restent constantes en charge Désormais encore plus rapide : système M-Quick pour un changement de meule sans outil sur simple pression d'un bouton grâce à l'écrou de serrage M-Quick Capot de protection réglable sans outil, avec fixation antitorsion Poignée supplémentaire anti-vibrations Metabo VibraTech (MVT) Débrayage de sécurité mécanique Metabo S-automatic : minimise le rebond en cas de blocage de la meule au niveau le plus faible sur le marché - pour une protection maximale de l'utilisateur et une reprise rapide du travail Protection électronique contre la surcharge, démarrage progressif et protection anti-redémarrage Possibilité de modifier de 90° la position de l’interrupteur (pour les gauchers, pour le tronçonnage ou pour l’ébarbage) Balais autorupteurs pour la protection du moteur Valeurs de référence : Ø de la meule 125 mm Puissance absorbée nominale 1700 W Puissance utile 1040 W Vitesse de rotation à vide 2000 - 7600 /min Vitesse de rotation en charge nominale 7600 /min Couple de rotation 5 Nm Filet de la broche M 14 Poids sans câble 2.5 kg Longueur de câble 4 m Vibration : Poncer des surfaces 4.7 m/s² Incertitude de mesure K 1.5 m/s² Polissage 2.5 m/s² Incertitude de mesure K 1.5 m/s² Poncer avec du papier abrasif 2.5 m/s² Incertitude de mesure K 1.5 m/s² Émission acoustique : niveau sonore 93 dB(A) Niveau de puissance acoustique (LwA) 104 dB(A) Incertitude de mesure K 3 dB(A) Equipement standard : Capot de protection Flasque d'appui Écrou de serrage M-Quick Poignée supplémentaire Metabo VibraTech (MVT)",metabo,Meuleuse 125 mm WEV 17-125 Quick Inox - 1700W - vitesse de rotation reglable - Metabo,358.18,MET-600517000,40.3,https://www.centrale-brico.com/metabo-meuleuse-125-mm-wev-17-125-quick-inox-1700w-vitesse-de-rotation-reglable-b6801600,599.9664991624791
1090,4007430240743,Meuleuse,B6799700,Meuleuse d'angle à tête plate la plus maniable pour travailler dans des angles aigus jusqu'à 43°,metabo,Meuleuse 125 mm WEPF 9-125 Quick - 900W - tete plate - Metabo,434.38,MET-613069000,31.97,https://www.centrale-brico.com/metabo-meuleuse-125-mm-wepf-9-125-quick-900w-tete-plate-b6799700,638.5124209907393
1091,4007430230478,Meuleuse,B6799600,Meuleuse d'angle à tête plate la plus maniable pour travailler dans des angles aigus jusqu'à 43°,metabo,Meuleuse 125 mm WEF 9-125 Quick - 900W - tete plate - Metabo,311.64,MET-613060000,35.69,https://www.centrale-brico.com/metabo-meuleuse-125-mm-wef-9-125-quick-900w-tete-plate-b6799600,484.590265899549
1092,4007430338549,Meuleuse,B6799200,"Robuste, universelle et économique : meuleuse d'angle ergonomique pour toutes les applications Moteur puissant avec une bonne résistance à la surcharge Système électronique Constamatic (C) à ondes pleines : avancée rapide grâce à la vitesse pratiquement constante en charge Désormais encore plus rapide : système M-Quick pour un changement de meule sans outil sur simple pression d'un bouton grâce à l'écrou de serrage M-Quick Débrayage de sécurité mécanique Metabo S-automatic : minimise le rebond en cas de blocage de la meule au niveau le plus faible sur le marché - pour une protection maximale de l'utilisateur et une reprise rapide du travail Protection électronique contre la surcharge pour une longue durée de vie Démarrage progressif électronique et protection anti-redémarrage Possibilité de modifier de 90° la position de l’interrupteur (pour les gauchers, pour le tronçonnage ou pour l’ébarbage) Valeurs de référence Ø de la meule 125 mm Puissance absorbée nominale 1400 W Puissance utile 780 W Vitesse de rotation à vide 11500 /min Vitesse de rotation en charge nominale 10500 /min Couple de rotation 3.3 Nm Filet de la broche M 14 Poids sans câble 2.2 kg Longueur de câble 4 m Vibration Poncer des surfaces 7.5 m/s² Incertitude de mesure K 1.5 m/s² Poncer avec du papier abrasif 2.5 m/s² Incertitude de mesure K 1.5 m/s² Émission acoustique niveau sonore 87 dB(A) Niveau de puissance acoustique (LwA) 98 dB(A) Incertitude de mesure K 3 dB(A) Équipement standard Capot de protection Flasque d'appui Écrou de serrage M-Quick Poignée supplémentaire",metabo,Meuleuse 125 mm WEQ 1400-125 - 1400W - Metabo,144.98,MET-600347000,39.68,https://www.centrale-brico.com/metabo-meuleuse-125-mm-weq-1400-125-1400w-b6799200,240.3514588859416
1093,4007430338303,Meuleuse,B6799000,"Robuste, universelle et économique : meuleuse d'angle puissante pour toutes les applications",metabo,Meuleuse 125 mm W 1100-125 - 1100W - Metabo,112.14,MET-603614000,38.64,https://www.centrale-brico.com/metabo-meuleuse-125-mm-w-1100-125-1100w-b6799000,182.7574967405476
1094,9120039234427,Scie circulaire,B8343700,": lame de 405 mm, alésage de 30 mm avec 32 dents, outil pour changer la lame, extension latérale jusqu'à 1 mètre, butée pour coupes en série et boîtier de protection",zipper,Scie circulaire a buches - 405 mm - 2200W - 230V - Zipper,467.0,ZIP-ZI-WP400TN,0.0,https://www.centrale-brico.com/zipper-scie-circulaire-a-buches-405-mm-2200w-230v-b8343700,467.0
1095,9120058372926,Scie circulaire,B8320200,Poids net en kg : 4,holzmann,Scie double lame - 1200W - 230V / 50Hz - Holzmann,106.31,HOL-DBS125_230V,12.21,https://www.centrale-brico.com/holzmann-scie-double-lame-1200w-230v-50hz-b8320200,121.09579678778906
1096,9120039904986,Scie circulaire,B8309500,"lame, sac de récupération des poussières, coffret ALU",holzmann,Scie circulaire plongeante - 1400W - 230V - Holzmann,199.0,HOL-TAS165PRO,16.7,https://www.centrale-brico.com/holzmann-scie-circulaire-plongeante-1400w-230v-b8309500,238.89555822328933
1097,9120039909448,Scie circulaire,B8309400,"Lame T.C.T. 180mm, alésage 20 mm",holzmann,Scie circulaire a metaux - 1280W - 230V - Holzmann,214.61,HOL-MKS180_230V,10.17,https://www.centrale-brico.com/holzmann-scie-circulaire-a-metaux-1280w-230v-b8309400,238.90682400089057
1098,9120058379758,Scie circulaire,B8302100,": Double chargeur pour 2 batteries (puissance 100 W), 2 batteries 20 V (4 Ah), adaptateur de connexion pour aspiration.",holzmann,Scie plongeante a batterie - Holzmann,378.0,HOL-TAS165AKKU,0.0,https://www.centrale-brico.com/holzmann-scie-plongeante-a-batterie-b8302100,378.0
